USA,UnitedStates,16244600
CHN,China,8227103
JPN,Japan,5959718
DEU,Germany,3428131
FRA,France,2612878
GBR,UnitedKingdom,2471784
BRA,Brazil,2252664
RUS,RussianFederation,2014775
ITA,Italy,2014670
IND,India,1841710
CAN,Canada,1821424
AUS,Australia,1532408
ESP,Spain,1322965
MEX,Mexico,1178126
KOR,"Korea,Rep.",1129598
IDN,Indonesia,878043
TUR,Turkey,789257
NLD,Netherlands,770555
SAU,SaudiArabia,711050
CHE,Switzerland,631173
SWE,Sweden,523806
IRN,"Iran,IslamicRep.",514060
NOR,Norway,499667
POL,Poland,489795
BEL,Belgium,483262
ARG,Argentina,475502
AUT,Austria,394708
ZAF,SouthAfrica,384313
VEN,"Venezuela,RB",381286
COL,Colombia,369606
THA,Thailand,365966
ARE,UnitedArabEmirates,348595
DNK,Denmark,314887
MYS,Malaysia,305033
SGP,Singapore,274701
CHL,Chile,269869
HKG,"HongKongSAR,China",263259
EGY,"Egypt,ArabRep.",262832
NGA,Nigeria,262597
ISR,Israel,258217
PHL,Philippines,250182
GRC,Greece,249099
FIN,Finland,247546
PAK,Pakistan,225143
PRT,Portugal,212274
IRL,Ireland,210771
IRQ,Iraq,210280
DZA,Algeria,205789
PER,Peru,203790
KAZ,Kazakhstan,203521
CZE,CzechRepublic,196446
UKR,Ukraine,176309
QAT,Qatar,171476
NZL,NewZealand,167347
KWT,Kuwait,160913
VNM,Vietnam,155820
HUN,Hungary,124600
BGD,Bangladesh,116355
AGO,Angola,114147
PRI,PuertoRico,101496
MAR,Morocco,95982
SVK,SlovakRepublic,91149
ECU,Ecuador,84040
SYR,SyrianArabRepublic,73672
OMN,Oman,69972
CUB,Cuba,68234
AZE,Azerbaijan,66605
BLR,Belarus,63267
LKA,SriLanka,59423
HRV,Croatia,59228
DOM,DominicanRepublic,59047
SDN,Sudan,58769
LUX,Luxembourg,55178
UZB,Uzbekistan,51113
BGR,Bulgaria,50972
GTM,Guatemala,50234
URY,Uruguay,49920
TUN,Tunisia,45662
SVN,Slovenia,45279
CRI,CostaRica,45104
MAC,"MacaoSAR,China",43582
LBN,Lebanon,42945
LTU,Lithuania,42344
ETH,Ethiopia,41605
GHA,Ghana,40711
KEN,Kenya,40697
SRB,Serbia,37489
PAN,Panama,36253
YEM,"Yemen,Rep.",35646
TKM,Turkmenistan,35164
JOR,Jordan,31015
BHR,Bahrain,29044
LVA,Latvia,28373
TZA,Tanzania,28242
BOL,Bolivia,27035
PRY,Paraguay,25502
CMR,Cameroon,25322
CIV,Coted'Ivoire,24680
SLV,ElSalvador,23864
TTO,TrinidadandTobago,23320
CYP,Cyprus,22767
EST,Estonia,22390
ZMB,Zambia,20678
AFG,Afghanistan,20497
UGA,Uganda,19881
NPL,Nepal,18963
HND,Honduras,18434
GAB,Gabon,18377
GNQ,EquatorialGuinea,17697
BIH,BosniaandHerzegovina,17466
BRN,BruneiDarussalam,16954
GEO,Georgia,15747
PNG,PapuaNewGuinea,15654
JAM,Jamaica,14755
BWA,Botswana,14504
MOZ,Mozambique,14244
SEN,Senegal,14046
KHM,Cambodia,14038
COG,"Congo,Rep.",13678
ISL,Iceland,13579
NAM,Namibia,13072
TCD,Chad,12887
ALB,Albania,12648
NIC,Nicaragua,10507
MUS,Mauritius,10486
BFA,BurkinaFaso,10441
MLI,Mali,10308
MNG,Mongolia,10271
MDG,Madagascar,9975
ARM,Armenia,9951
ZWE,Zimbabwe,9802
MKD,"Macedonia,FYR",9613
LAO,LaoPDR,9418
MLT,Malta,8722
BHS,"Bahamas,The",8149
HTI,Haiti,7843
BEN,Benin,7557
MDA,Moldova,7253
RWA,Rwanda,7103
TJK,Tajikistan,6972
NER,Niger,6773
KGZ,KyrgyzRepublic,6475
KSV,Kosovo,6445
MCO,Monaco,6075
GIN,Guinea,5632
BMU,Bermuda,5474
SUR,Suriname,5012
MNE,Montenegro,4373
MWI,Malawi,4264
BRB,Barbados,4225
MRT,Mauritania,4199
FJI,Fiji,3908
TGO,Togo,3814
SLE,SierraLeone,3796
SWZ,Swaziland,3744
ERI,Eritrea,3092
GUY,Guyana,2851
ABW,Aruba,2584
BDI,Burundi,2472
LSO,Lesotho,2448
MDV,Maldives,2222
CAF,CentralAfricanRepublic,2184
CPV,CapeVerde,1827
BTN,Bhutan,1780
LBR,Liberia,1734
BLZ,Belize,1493
LCA,St.Lucia,1239
ATG,AntiguaandBarbuda,1134
SYC,Seychelles,1129
SLB,SolomonIslands,1008
GMB,"Gambia,The",917
GNB,Guinea-Bissau,822
VUT,Vanuatu,787
GRD,Grenada,767
KNA,St.KittsandNevis,767
VCT,St.VincentandtheGrenadines,713
WSM,Samoa,684
COM,Comoros,596
DMA,Dominica,480
TON,Tonga,472
FSM,"Micronesia,Fed.Sts.",326
STP,SaoTomeandPrincipe,263
PLW,Palau,228
MHL,MarshallIslands,182
KIR,Kiribati,175
TUV,Tuvalu,40
