USA,UnitedStates,309349000
CHN,China,1338300000
JPN,Japan,127451000
DEU,Germany,81777000
FRA,France,64895000
GBR,UnitedKingdom,62232000
BRA,Brazil,194946000
RUS,RussianFederation,141750000
ITA,Italy,60483000
IND,India,1224615000
CAN,Canada,34126000
AUS,Australia,22299000
ESP,Spain,46071000
MEX,Mexico,113423000
KOR,"Korea,Rep.",48875000
IDN,Indonesia,239870000
TUR,Turkey,72752000
NLD,Netherlands,16616000
SAU,SaudiArabia,27448000
CHE,Switzerland,7826000
SWE,Sweden,9378000
IRN,"Iran,IslamicRep.",73973000
NOR,Norway,4889000
POL,Poland,38184000
BEL,Belgium,10896000
ARG,Argentina,40412000
AUT,Austria,8390000
ZAF,SouthAfrica,49991000
VEN,"Venezuela,RB",28834000
COL,Colombia,46295000
THA,Thailand,69122000
ARE,UnitedArabEmirates,7512000
DNK,Denmark,5547000
MYS,Malaysia,28401000
SGP,Singapore,5077000
CHL,Chile,17113688
HKG,"HongKongSAR,China",7068000
EGY,"Egypt,ArabRep.",81121000
NGA,Nigeria,158423000
ISR,Israel,7624000
PHL,Philippines,93261000
GRC,Greece,11316000
FIN,Finland,5364000
PAK,Pakistan,173593000
PRT,Portugal,10638000
IRL,Ireland,4475000
IRQ,Iraq,32031000
DZA,Algeria,35468000
PER,Peru,29076000
KAZ,Kazakhstan,16323000
CZE,CzechRepublic,10520000
UKR,Ukraine,45871000
QAT,Qatar,1759000
NZL,NewZealand,4368000
KWT,Kuwait,2736000
VNM,Vietnam,86928000
HUN,Hungary,10000000
BGD,Bangladesh,148692000
AGO,Angola,19082000
PRI,PuertoRico,3978000
MAR,Morocco,31951000
SVK,SlovakRepublic,5430000
ECU,Ecuador,14465000
SYR,SyrianArabRepublic,20447000
OMN,Oman,2783000
CUB,Cuba,11258000
AZE,Azerbaijan,9054000
BLR,Belarus,9490000
LKA,SriLanka,20860000
HRV,Croatia,4418000
DOM,DominicanRepublic,9927000
SDN,Sudan,43552000
LUX,Luxembourg,507000
UZB,Uzbekistan,28228000
BGR,Bulgaria,7534000
GTM,Guatemala,14389000
URY,Uruguay,3357000
TUN,Tunisia,10549000
SVN,Slovenia,2049000
CRI,CostaRica,4659000
MAC,"MacaoSAR,China",544000
LBN,Lebanon,4227000
LTU,Lithuania,3287000
ETH,Ethiopia,82950000
GHA,Ghana,24392000
KEN,Kenya,40513000
SRB,Serbia,7291000
PAN,Panama,3517000
YEM,"Yemen,Rep.",24053000
TKM,Turkmenistan,5042000
JOR,Jordan,6047000
BHR,Bahrain,1262000
LVA,Latvia,2239000
TZA,Tanzania,44841000
BOL,Bolivia,9929000
PRY,Paraguay,6454000
CMR,Cameroon,19599000
CIV,Coted'Ivoire,19738000
SLV,ElSalvador,6193000
TTO,TrinidadandTobago,1341000
CYP,Cyprus,1103000
EST,Estonia,1340000
ZMB,Zambia,12927000
AFG,Afghanistan,34385000
UGA,Uganda,33424000
NPL,Nepal,29959000
HND,Honduras,7600000
GAB,Gabon,1505000
GNQ,EquatorialGuinea,700000
BIH,BosniaandHerzegovina,3760000
BRN,BruneiDarussalam,399000
GEO,Georgia,4452000
PNG,PapuaNewGuinea,6858000
JAM,Jamaica,2702000
BWA,Botswana,2007000
MOZ,Mozambique,23390000
SEN,Senegal,12434000
KHM,Cambodia,14139000
COG,"Congo,Rep.",4043000
ISL,Iceland,318000
NAM,Namibia,2283000
TCD,Chad,11227000
ALB,Albania,3205000
NIC,Nicaragua,5789000
MUS,Mauritius,1281000
BFA,BurkinaFaso,16468000
MLI,Mali,15370000
MNG,Mongolia,2756000
MDG,Madagascar,20714000
ARM,Armenia,3092000
ZWE,Zimbabwe,12571000
MKD,"Macedonia,FYR",2060000
LAO,LaoPDR,6201000
MLT,Malta,416000
BHS,"Bahamas,The",343000
HTI,Haiti,9993000
BEN,Benin,8850000
MDA,Moldova,3562000
RWA,Rwanda,10624000
TJK,Tajikistan,6879000
NER,Niger,15512000
KGZ,KyrgyzRepublic,5448000
KSV,Kosovo,1815000
MCO,Monaco,35407
GIN,Guinea,9982000
BMU,Bermuda,64600
SUR,Suriname,525000
MNE,Montenegro,632000
MWI,Malawi,14901000
BRB,Barbados,274000
MRT,Mauritania,3460000
FJI,Fiji,860000
TGO,Togo,6028000
SLE,SierraLeone,5867000
SWZ,Swaziland,1056000
ERI,Eritrea,5254000
GUY,Guyana,755000
ABW,Aruba,108000
BDI,Burundi,8382000
LSO,Lesotho,2171000
MDV,Maldives,316000
CAF,CentralAfricanRepublic,4401000
CPV,CapeVerde,496000
BTN,Bhutan,726000
LBR,Liberia,3994000
BLZ,Belize,345000
LCA,St.Lucia,174000
ATG,AntiguaandBarbuda,88000
SYC,Seychelles,87000
SLB,SolomonIslands,538000
GMB,"Gambia,The",1729000
GNB,Guinea-Bissau,1515000
VUT,Vanuatu,240000
GRD,Grenada,104000
KNA,St.KittsandNevis,52000
VCT,St.VincentandtheGrenadines,109000
WSM,Samoa,184000
COM,Comoros,735000
DMA,Dominica,68000
TON,Tonga,104000
FSM,"Micronesia,Fed.Sts.",111000
STP,SaoTomeandPrincipe,165000
PLW,Palau,20472
MHL,MarshallIslands,54038
KIR,Kiribati,100000
TUV,Tuvalu,9827
